animal_id,breed,sex,birth_weight_kg,withers_height_cm,chest_girth_cm,body_length_cm,colostrum_liters_first_week,early_health_score,ration_type,daily_dry_matter_intake_kg,disease_history_first_3m,weight_3m_kg,weight_6m_kg,weight_12m_kg
ANM-00096,Angus,Male,36.4,64.3,76.3,74.0,12.4,2,standard,2.25,1,83.2,150.0,241.8
ANM-00097,Simmental,Male,42.7,79.0,99.9,70.0,15.2,4,high_energy,5.78,0,125.9,233.4,401.5
ANM-00098,Holstein,Male,40.1,86.0,96.9,78.0,16.5,4,high_energy,6.45,0,124.9,237.3,409.8
ANM-00099,Holstein,Male,39.5,78.6,84.7,78.5,24.3,4,high_energy,4.4,0,113.8,208.8,380.4
ANM-00100,Limuzin,Male,40.8,80.1,92.2,75.9,19.9,4,high_protein,4.49,0,138.9,261.0,430.8
ANM-00101,Limuzin,Female,35.9,84.6,87.9,75.9,9.1,4,standard,4.81,0,103.4,170.4,272.7
ANM-00102,Angus,Male,43.4,76.4,84.1,66.6,23.7,5,high_energy,6.4,0,141.7,277.3,447.9
ANM-00103,Simmental,Female,41.4,78.4,81.2,83.0,15.3,3,high_energy,3.93,0,102.1,186.6,290.1
ANM-00104,Limuzin,Female,34.6,80.9,85.4,79.1,15.2,3,standard,4.12,0,96.2,174.5,326.4
ANM-00105,Hereford,Female,36.5,66.0,87.2,66.8,12.2,5,high_protein,4.2,1,106.8,175.0,263.2
ANM-00106,Hereford,Female,39.1,71.0,86.4,69.4,20.5,4,standard,4.36,0,112.5,198.9,335.9
ANM-00107,Jersey,Female,30.2,62.0,69.8,61.6,22.1,5,high_energy,5.59,0,66.1,147.9,269.5
ANM-00108,Simmental,Female,38.0,83.3,77.7,61.8,22.8,4,high_energy,6.07,0,123.7,240.9,384.4
ANM-00109,Holstein,Male,33.2,76.7,83.4,75.6,11.9,1,high_protein,3.99,0,69.8,162.5,288.4
ANM-00110,Limuzin,Male,41.3,80.3,87.6,80.9,17.9,5,high_energy,6.41,0,141.8,256.1,438.3
ANM-00111,Jersey,Male,38.7,68.5,69.0,61.3,8.9,2,standard,4.12,1,65.0,127.7,222.6
ANM-00112,Holstein,Male,37.5,69.7,90.2,72.7,23.3,3,high_protein,5.14,1,91.6,167.4,298.1
ANM-00113,Simmental,Male,33.0,82.1,86.6,84.0,13.8,5,high_energy,4.45,0,113.0,220.2,372.5
ANM-00114,Angus,Female,32.2,71.4,79.7,60.3,10.3,3,high_energy,5.15,1,86.7,176.0,266.4
ANM-00115,Holstein,Male,37.0,70.9,81.2,76.0,25.6,4,high_energy,5.04,0,113.6,213.2,355.1
ANM-00116,Limuzin,Female,33.8,77.4,78.2,68.0,18.0,2,standard,4.77,0,99.1,189.0,272.8
ANM-00117,Hereford,Male,33.3,77.6,77.2,72.4,24.0,3,high_energy,5.68,1,102.5,197.6,333.0
ANM-00118,Hereford,Male,44.6,69.6,77.8,67.4,20.1,4,high_protein,3.42,0,129.4,224.9,368.6
ANM-00119,Jersey,Male,30.7,71.1,75.2,60.9,9.1,1,standard,2.62,0,65.0,131.7,220.0
ANM-00120,Angus,Male,38.6,75.2,84.5,80.5,22.3,5,standard,4.03,0,116.2,212.5,331.0
ANM-00121,Angus,Male,32.3,62.3,70.7,65.3,11.8,5,high_protein,5.61,0,102.1,197.3,355.4
ANM-00122,Angus,Male,38.4,83.1,98.8,84.9,16.0,2,high_energy,5.56,0,116.0,217.0,371.2
ANM-00123,Holstein,Male,34.8,74.3,68.4,78.3,9.7,4,high_protein,5.78,0,92.6,185.0,334.9
ANM-00124,Simmental,Male,33.8,88.9,97.7,84.6,22.8,4,standard,2.85,0,115.5,198.6,317.8
ANM-00125,Holstein,Male,39.6,79.6,99.0,70.2,19.5,3,high_protein,3.75,0,115.7,222.5,366.2
ANM-00126,Jersey,Male,33.0,61.1,75.1,58.1,19.6,4,standard,3.77,1,65.6,129.8,220.0
ANM-00127,Simmental,Male,41.1,84.9,89.7,73.9,8.5,5,high_energy,4.59,0,121.1,215.7,371.1
ANM-00128,Holstein,Male,36.7,72.1,86.3,63.5,9.6,2,standard,3.73,1,65.0,120.0,220.0
ANM-00129,Holstein,Male,36.0,73.7,83.6,68.7,16.8,5,high_energy,5.23,1,95.8,186.0,318.5
ANM-00130,Angus,Male,40.1,72.1,86.8,72.0,22.9,4,high_protein,4.91,0,116.7,227.7,384.6
ANM-00131,Holstein,Male,36.8,84.4,89.3,76.4,22.8,5,high_energy,6.11,1,119.0,209.7,353.3
ANM-00132,Limuzin,Female,32.1,77.0,91.5,65.0,15.1,2,high_energy,5.95,0,108.0,195.0,371.9
ANM-00133,Angus,Female,35.0,77.4,86.4,83.7,13.3,2,standard,6.19,1,77.6,142.9,241.0
ANM-00134,Simmental,Female,34.8,83.8,88.9,84.8,22.6,3,high_energy,5.63,0,112.9,219.1,367.3
ANM-00135,Angus,Male,39.1,63.9,76.8,67.8,22.8,4,high_energy,6.06,0,111.3,227.3,408.2
ANM-00136,Holstein,Male,28.8,76.1,79.5,67.4,23.7,2,standard,4.92,0,81.5,158.0,316.3
ANM-00137,Limuzin,Male,41.8,80.3,85.6,73.4,15.8,5,high_energy,6.05,0,141.2,280.7,471.2
ANM-00138,Jersey,Female,27.9,65.5,78.7,64.4,15.9,4,high_protein,4.6,0,65.2,141.5,220.0
ANM-00139,Hereford,Female,38.9,73.8,82.4,74.1,24.4,3,high_energy,5.95,0,120.9,226.3,387.1
ANM-00140,Holstein,Female,40.4,77.2,77.1,71.7,25.9,4,high_energy,5.67,1,106.8,181.0,285.8
ANM-00141,Jersey,Female,30.6,66.6,72.5,66.4,14.7,2,standard,3.76,0,65.0,137.9,220.0
ANM-00142,Jersey,Male,32.1,65.4,70.1,60.5,20.5,3,high_energy,5.02,0,68.9,167.6,334.9
ANM-00143,Limuzin,Female,31.8,80.4,80.9,80.8,17.6,4,standard,5.18,0,113.7,207.0,358.8
ANM-00144,Angus,Female,35.7,70.4,83.3,76.7,20.9,4,standard,4.3,0,100.8,170.4,270.5
ANM-00145,Jersey,Male,32.0,60.1,69.2,61.0,13.7,5,standard,4.27,1,65.0,138.9,220.0
ANM-00146,Simmental,Female,37.6,70.4,93.2,73.2,8.1,2,standard,5.45,0,98.3,189.8,315.2
ANM-00147,Simmental,Male,40.2,78.6,91.5,77.7,15.9,4,standard,4.5,0,120.6,227.5,357.9
ANM-00148,Jersey,Female,32.3,62.3,75.3,59.2,25.4,3,high_energy,4.01,0,71.1,148.7,259.4
ANM-00149,Jersey,Female,34.8,63.4,71.4,66.5,14.1,3,standard,3.32,0,65.0,126.3,220.0
ANM-00150,Holstein,Male,34.4,81.6,91.0,74.0,8.1,2,standard,3.89,1,67.6,124.4,220.0
ANM-00151,Hereford,Female,31.4,64.7,73.3,64.9,18.0,5,standard,4.11,0,102.0,207.1,304.7
ANM-00152,Limuzin,Male,40.7,79.4,84.2,76.8,22.6,4,high_energy,5.0,0,126.8,232.8,413.6
ANM-00153,Holstein,Female,40.0,70.5,78.2,71.7,19.6,5,standard,3.99,0,111.3,180.6,310.6
ANM-00154,Angus,Female,38.2,68.8,82.2,62.9,18.0,3,standard,3.7,0,92.4,163.1,266.5
ANM-00155,Holstein,Female,32.3,71.0,74.1,68.2,9.7,1,high_energy,6.37,1,65.0,130.8,238.0
ANM-00156,Angus,Female,30.0,71.0,85.2,77.1,8.2,4,standard,4.59,0,84.2,176.7,301.5
ANM-00157,Simmental,Male,45.6,83.4,95.7,84.2,22.3,5,high_protein,6.47,0,149.8,257.6,437.2
ANM-00158,Angus,Male,34.5,69.5,85.7,65.1,25.6,1,standard,4.54,1,76.3,134.5,256.0
ANM-00159,Hereford,Male,35.0,82.0,82.7,81.3,14.8,3,standard,3.47,0,103.3,190.7,296.9
ANM-00160,Hereford,Male,37.5,74.1,81.4,71.9,22.4,5,standard,3.72,0,111.0,215.1,363.1
ANM-00161,Holstein,Male,37.0,75.8,81.5,74.6,26.0,5,high_energy,4.87,1,118.2,215.0,348.9
ANM-00162,Limuzin,Male,35.2,86.6,91.1,82.1,10.0,4,standard,3.65,1,100.9,187.8,276.3
ANM-00163,Simmental,Male,37.4,65.4,72.8,74.7,22.7,4,high_protein,4.38,0,123.1,228.9,415.6
ANM-00164,Holstein,Male,33.6,80.6,86.0,89.8,20.9,1,standard,5.58,1,89.4,158.1,300.2
ANM-00165,Angus,Female,30.1,68.2,70.4,59.1,24.2,4,high_energy,3.33,0,91.2,183.3,303.7
ANM-00166,Simmental,Male,43.4,78.5,92.1,80.8,22.1,5,standard,4.5,1,126.7,194.5,318.0
ANM-00167,Hereford,Female,31.1,72.7,77.7,62.7,13.8,4,standard,5.15,1,81.2,129.2,220.0
ANM-00168,Hereford,Male,36.3,75.2,80.4,74.5,16.1,5,standard,3.06,0,114.7,212.6,337.1
ANM-00169,Simmental,Male,35.2,76.4,80.5,67.6,9.8,2,high_energy,4.53,0,94.4,194.2,328.1
ANM-00170,Limuzin,Male,38.8,77.5,93.8,76.8,18.6,3,standard,3.41,1,97.2,173.8,254.2
ANM-00171,Simmental,Male,38.1,74.7,87.2,67.0,17.1,3,high_protein,4.13,0,101.6,188.6,358.4
ANM-00172,Jersey,Male,31.6,67.1,82.7,58.2,14.2,5,high_energy,4.12,0,86.9,193.7,335.0
ANM-00173,Simmental,Male,28.0,76.1,87.0,70.0,15.6,5,high_protein,4.56,0,88.9,194.5,343.9
ANM-00174,Limuzin,Male,35.6,77.1,78.3,74.8,9.3,5,standard,3.24,0,106.7,195.3,312.9
ANM-00175,Holstein,Male,39.4,75.2,83.7,78.8,16.1,4,high_energy,4.24,0,110.0,212.9,368.0
ANM-00176,Holstein,Female,27.7,77.2,82.3,69.5,11.8,5,high_energy,4.12,1,73.4,143.9,220.0
ANM-00177,Jersey,Male,31.1,71.4,76.9,73.7,8.0,3,high_energy,5.33,0,65.0,150.5,281.1
ANM-00178,Limuzin,Female,31.1,74.4,84.8,82.1,23.6,3,high_protein,4.68,1,97.3,164.1,247.8
ANM-00179,Limuzin,Male,42.5,77.0,88.9,78.7,8.9,4,high_energy,5.47,0,128.9,246.9,440.9
ANM-00180,Hereford,Female,36.4,70.7,76.8,75.7,25.5,3,high_protein,4.1,0,121.5,205.7,308.1
ANM-00181,Limuzin,Female,40.7,78.7,89.2,60.5,11.7,3,high_energy,5.11,0,116.4,200.3,327.5
ANM-00182,Limuzin,Female,36.4,71.2,81.6,64.8,23.4,4,standard,4.58,0,119.9,210.5,305.1
ANM-00183,Jersey,Female,28.0,68.6,69.7,63.5,13.3,3,high_energy,3.97,0,65.0,149.3,247.7
ANM-00184,Simmental,Male,35.6,82.4,81.0,78.0,15.3,4,standard,4.2,0,120.8,226.4,360.4
ANM-00185,Hereford,Male,38.2,67.9,82.0,71.4,21.4,3,high_protein,4.9,0,116.1,223.7,392.4
ANM-00186,Angus,Male,37.8,82.9,85.4,72.7,17.2,2,high_protein,6.99,0,115.9,235.7,403.1
ANM-00187,Simmental,Female,38.2,71.0,81.7,66.0,10.6,3,standard,5.61,0,104.8,203.6,327.1
ANM-00188,Holstein,Female,37.1,74.0,87.7,76.1,9.8,3,standard,4.82,0,96.6,177.7,296.6
ANM-00189,Hereford,Male,37.1,74.0,91.9,71.6,20.3,5,standard,3.88,0,121.2,194.3,322.7
ANM-00190,Simmental,Female,35.1,69.1,76.9,70.8,8.1,3,standard,3.89,0,81.1,167.1,310.6
ANM-00191,Limuzin,Male,40.2,80.1,88.0,76.8,10.9,3,standard,5.15,0,116.0,205.8,342.9
ANM-00192,Simmental,Female,39.5,69.0,89.0,69.8,21.4,3,high_energy,4.38,0,120.2,203.3,347.5
ANM-00193,Holstein,Female,40.4,76.8,83.4,73.5,14.3,5,high_energy,5.95,0,119.1,212.4,377.0
ANM-00194,Hereford,Male,37.5,67.8,84.5,69.6,9.6,4,high_protein,6.04,0,98.3,230.7,386.3
ANM-00195,Holstein,Female,35.9,74.3,80.5,78.3,20.8,4,standard,4.89,0,102.9,190.7,311.9
ANM-00196,Holstein,Female,35.0,81.2,90.9,76.1,10.4,4,high_energy,5.4,0,92.5,176.7,307.9
ANM-00197,Angus,Male,29.1,70.3,75.5,73.8,15.9,4,standard,4.07,0,95.7,177.6,311.6
ANM-00198,Limuzin,Male,45.3,85.3,91.3,81.9,19.5,5,high_protein,5.16,0,141.9,254.6,423.8
ANM-00199,Holstein,Male,42.2,66.8,89.3,69.9,23.9,4,standard,4.17,0,110.5,206.4,337.2
ANM-00200,Simmental,Female,39.4,75.1,79.0,70.3,13.7,2,standard,3.84,0,90.2,165.9,253.4
ANM-00201,Hereford,Male,33.2,71.0,86.1,70.7,19.6,3,standard,5.15,0,113.3,201.3,372.6
ANM-00202,Limuzin,Female,40.9,76.4,87.5,68.6,8.7,4,high_protein,4.57,0,114.3,210.1,353.5
ANM-00203,Jersey,Female,32.0,64.7,73.8,65.8,25.6,3,standard,2.83,1,65.0,120.0,220.0
ANM-00204,Holstein,Male,40.3,81.3,94.0,75.0,16.2,4,high_energy,4.92,0,137.6,257.9,418.2
ANM-00205,Holstein,Male,28.3,71.5,79.3,68.0,12.4,5,high_energy,4.61,0,88.6,190.0,318.9
ANM-00206,Simmental,Female,40.9,85.8,87.8,75.6,15.7,5,high_energy,3.98,0,136.7,227.2,380.8
ANM-00207,Holstein,Female,31.0,73.8,84.3,61.2,25.8,5,standard,4.74,1,77.5,146.0,231.8
ANM-00208,Angus,Male,31.4,70.6,77.6,63.5,17.1,3,standard,3.75,1,88.7,158.6,256.1
ANM-00209,Holstein,Male,37.4,79.0,82.4,77.6,8.7,4,standard,4.9,1,81.6,148.6,240.6
ANM-00210,Jersey,Male,33.9,60.5,71.7,60.6,21.3,3,standard,3.31,0,65.4,144.8,245.4
ANM-00211,Angus,Female,26.6,70.1,70.7,63.6,20.9,3,high_energy,3.7,1,74.9,144.4,250.2
ANM-00212,Angus,Male,36.4,73.6,89.1,70.0,11.3,4,standard,6.14,0,115.1,231.9,404.7
ANM-00213,Holstein,Female,31.9,72.9,82.9,73.3,11.1,5,standard,5.94,0,82.8,177.6,316.6
ANM-00214,Hereford,Male,35.7,77.6,82.1,71.4,25.8,5,standard,5.1,0,114.2,212.4,336.6
ANM-00215,Hereford,Female,30.5,68.9,72.1,74.9,18.4,3,high_energy,3.82,1,83.4,132.4,224.8
ANM-00216,Hereford,Male,31.3,77.4,74.9,73.7,12.2,4,standard,3.38,0,91.1,177.2,304.9
ANM-00217,Holstein,Male,40.2,74.0,88.2,68.0,20.9,1,high_energy,5.26,1,82.9,163.9,274.4
ANM-00218,Holstein,Female,42.0,71.5,83.5,75.0,17.7,4,standard,5.92,0,109.3,200.5,305.5
ANM-00219,Limuzin,Female,38.1,81.2,96.1,73.4,14.2,4,high_protein,4.81,0,120.9,186.0,301.2
ANM-00220,Simmental,Male,29.4,74.4,77.2,76.9,19.4,4,high_energy,5.77,0,110.2,229.4,424.2
ANM-00221,Simmental,Male,40.9,85.6,81.8,75.8,21.1,5,standard,5.16,0,137.7,234.0,369.8
ANM-00222,Jersey,Male,27.3,62.9,69.3,60.2,15.3,5,standard,3.58,0,65.0,148.7,260.9
ANM-00223,Angus,Male,35.4,70.7,79.7,73.3,15.2,3,standard,3.64,0,94.4,195.9,320.0
ANM-00224,Limuzin,Male,41.7,81.0,99.3,74.3,19.7,4,standard,4.9,1,120.5,199.6,317.2
ANM-00225,Simmental,Female,37.0,74.6,82.2,69.9,12.6,3,standard,4.17,1,94.0,158.7,239.1
ANM-00226,Limuzin,Male,46.2,79.7,96.1,85.2,14.7,5,high_protein,3.67,0,140.4,244.2,408.9
ANM-00227,Holstein,Female,31.7,60.5,77.5,63.5,17.0,4,high_energy,4.51,0,81.9,174.6,304.5
ANM-00228,Angus,Male,35.9,76.6,96.8,76.2,22.7,4,standard,2.82,0,101.1,184.4,295.1
ANM-00229,Angus,Male,35.6,69.6,89.7,68.4,14.5,4,high_energy,4.34,0,110.8,208.8,365.1
ANM-00230,Holstein,Female,33.9,75.7,86.6,78.2,14.5,4,standard,4.11,1,84.5,132.9,220.0
ANM-00231,Holstein,Male,32.0,77.3,83.5,71.7,15.6,4,high_protein,4.87,0,85.1,197.2,350.0
ANM-00232,Simmental,Female,35.5,68.2,79.6,71.4,17.3,4,standard,5.98,0,101.0,197.5,320.7
ANM-00233,Limuzin,Male,34.3,85.3,84.3,77.8,13.4,3,high_energy,5.71,0,107.2,226.1,387.2
